Name, Total % Points Won, Total Net Points, Total Points
Novak Djokovic, 69.75, 6890 , 130286
Rafael Nadal, 75.87, 5695, 134996
Dominic Thiem, 73.80, 1966, 36593
Daniil Medvedev, 66.34, 1328, 26005
Roger Federer, 70.35, 14915, 146372
Stefanos Tsitsipas, 70.80, 2048, 22292
Alexander Zverev, 66.88, 2923, 47258
Andrey Rublev, 74.32, 514, 12138
Diego Schwartzman, 70.35, 1204, 29605
Matteo Berrettini, 72.04, 676, 9346
Gael Monfils
Denis Shapovalov
Roberto Bautista Agut
Milos Raonic
David Goffin
Pablo Carreno Busta
Fabio Fognini
Stan Wawrinka
Grigor Dimitrov
Karen Khachanov
Felix Auger-Aliassime
Cristian Garin
Alex De Minaur
Borna Coric
John Isner
Dusan Lajovic
Casper Ruud
Benoit Paire
Taylor Fritz
Ugo Humbert
Filip Krajinovic
Daniel Evans
Lorenzo Sonego
Hubert Hurkacz
Adrian Mannarino
Jan-Lennard Struff
Jannik Sinner
John Millman
Reilly Opelka
Nikoloz Basilashvili
Kei Nishikori
Marin Cilic
Guido Pella
Miomir Kecmanovic
Nick Kyrgios
Albert Ramos-Vinolas
Richard Gasquet
Kyle Edmund
Tennys Sandgren
Alexander Bublik
Jordan Thompson
Alejandro Davidovich Fokina
Sam Querrey
Tommy Paul
Marton Fucsovics
Yoshihito Nishioka
Laslo Djere
Aljaz Bedene
Frances Tiafoe
Pablo Andujar
Vasek Pospisil
Jo-Wilfried Tsonga
Gilles Simon
Feliciano Lopez
Fernando Verdasco
Dominik Koepfer
Pablo Cuevas
Jiri Vesely
Ricardas Berankis
Lucas Pouille
Cameron Norrie
Steve Johnson
Marcos Giron
Stefano Travaglia
Jeremy Chardy
Salvatore Caruso
Corentin Moutet
Egor Gerasimov
Juan Ignacio Londero
Marco Cecchinato
Kevin Anderson
Federico Delbonis
Pierre-Hugues Herbert
Thiago Monteiro
Pedro Martinez
Emil Ruusuvuori
Lloyd Harris
Norbert Gombos
Mikhail Kukushkin
Joao Sousa
Federico Coria
Attila Balazs
Radu Albot
Mikael Ymer
Soon Woo Kwon
Dennis Novak
Roberto Carballes Baena
Philipp Kohlschreiber
Yannick Hanfmann
Gianluca Mager
